"Country","Month","Total Passengers"
"Dominican Republic","1/6/2020","11115"
"Ecuador","1/6/2020","15127"
"Denmark","1/6/2020","1758"
"Haiti","1/6/2020","2594"
"Peru","1/6/2020","710"
"Bahamas","1/6/2020","494"
"El Salvador","1/6/2020","4409"
"Taiwan","1/6/2020","10028"
"Switzerland","1/6/2020","6471"
"United Kingdom","1/5/2020","24364"
"El Salvador","1/5/2020","2512"
"Haiti","1/5/2020","285"
"Jamaica","1/5/2020","1347"
"Guatemala","1/5/2020","1965"
"Colombia","1/5/2020","5305"
"Honduras","1/5/2020","2907"
"Philippines","1/5/2020","3272"
"Brazil","1/5/2020","11021"
"Turkey","1/5/2020","812"
"Israel","1/5/2020","6390"
"Aruba","1/5/2020","199"
"Switzerland","1/5/2020","1343"
"Panama","1/5/2020","605"
"Costa Rica","1/5/2020","2245"
"Cayman Islands","1/5/2020","289"
"Australia","1/5/2020","3450"
"Chile","1/5/2020","3679"
"Italy","1/5/2020","534"
"Peru","1/5/2020","883"
"Taiwan","1/5/2020","7119"
"United Arab Emirates","1/5/2020","529"
"New Zealand","1/5/2020","3595"
"Russia","1/5/2020","3067"
"Japan","1/5/2020","15165"
"South Korea","1/5/2020","43764"
"Iceland","1/5/2020","354"
"Ireland","1/5/2020","2719"
"Germany","1/5/2020","19190"
"Mexico","1/5/2020","87774"
"Antilles","1/5/2020","123"
"Bahamas","1/5/2020","251"
"France","1/5/2020","9507"
"Ecuador","1/5/2020","2597"
"China","1/5/2020","11202"
"Argentina","1/5/2020","1667"
"Dominican Republic","1/5/2020","7694"
"Hong Kong","1/5/2020","2835"
"Netherlands","1/5/2020","23952"
"Canada","1/5/2020","21768"
"Spain","1/5/2020","3545"
"Hong Kong","1/4/2020","1900"
"Japan","1/4/2020","17931"
"Mexico","1/4/2020","79000"
"Argentina","1/4/2020","1714"
"Brazil","1/4/2020","10397"
"Canada","1/4/2020","21955"
"Netherlands","1/4/2020","16904"
"Cayman Islands","1/4/2020","75"
"China","1/4/2020","8416"
"Haiti","1/4/2020","538"
"Jamaica","1/4/2020","1433"
"Guatemala","1/4/2020","1277"
"El Salvador","1/4/2020","2975"
"Ecuador","1/4/2020","1778"
"Honduras","1/4/2020","2126"
"Dominican Republic","1/4/2020","5681"
"South Korea","1/4/2020","42082"
"Philippines","1/4/2020","97692"
"Italy","1/4/2020","2567"
"Australia","1/4/2020","4069"
"Panama","1/4/2020","147"
"Colombia","1/4/2020","2244"
"Aruba","1/4/2020","22"
"Bahamas","1/4/2020","297"
"France","1/4/2020","4100"
"Turkey","1/4/2020","1011"
"Peru","1/4/2020","1026"
"Costa Rica","1/4/2020","1045"
"United Arab Emirates","1/4/2020","644"
"Iceland","1/4/2020","157"
"United Kingdom","1/4/2020","19062"
"Ireland","1/4/2020","1592"
"New Zealand","1/4/2020","4090"
"Israel","1/4/2020","2788"
"Russia","1/4/2020","1184"
"Taiwan","1/4/2020","5198"
"Switzerland","1/4/2020","950"
"Germany","1/4/2020","10152"
"Chile","1/4/2020","726"
"United Kingdom","1/3/2020","719970"
"Jamaica","1/3/2020","214699"
"Costa Rica","1/3/2020","189970"
"Peru","1/3/2020","76270"
"Cayman Islands","1/3/2020","53819"
"Italy","1/3/2020","31303"
"Turkey","1/3/2020","96943"
"South Korea","1/3/2020","103175"
"Iceland","1/3/2020","34086"
"Ireland","1/3/2020","104096"
"Switzerland","1/3/2020","55502"
"Japan","1/3/2020","347215"
"Spain","1/3/2020","124866"
"Chile","1/3/2020","55619"
"Panama","1/3/2020","161861"
"Argentina","1/3/2020","61985"
"Dominican Republic","1/3/2020","343622"
"Honduras","1/3/2020","41546"
"El Salvador","1/3/2020","73076"
"China","1/3/2020","40128"
"Philippines","1/3/2020","62144"
"Hong Kong","1/3/2020","33356"
"Guatemala","1/3/2020","56189"
"Colombia","1/3/2020","180686"
"Mexico","1/3/2020","1575662"
"Haiti","1/3/2020","33210"
"Ecuador","1/3/2020","55171"
"France","1/3/2020","220982"
"Belgium","1/3/2020","31095"
"Bahamas","1/3/2020","146592"
"Germany","1/3/2020","286396"
"Netherlands","1/3/2020","189420"
"Canada","1/3/2020","1328134"
"Antilles","1/3/2020","52788"
"Atlantic Ocean","1/3/2020","16951"
"Aruba","1/3/2020","89090"
"Russia","1/3/2020","39680"
"Brazil","1/3/2020","205063"
"Australia","1/3/2020","151536"
"Denmark","1/3/2020","21780"
"United Arab Emirates","1/3/2020","161394"
"Israel","1/3/2020","73230"
"New Zealand","1/3/2020","78610"
"Taiwan","1/3/2020","102529"
"Trinidad and Tobago","1/3/2020","36012"
"United Kingdom","1/2/2020","1238963"
"South Korea","1/2/2020","415825"
"Costa Rica","1/2/2020","319620"
"Peru","1/2/2020","155138"
"Cayman Islands","1/2/2020","93231"
"Italy","1/2/2020","129391"
"Argentina","1/2/2020","136165"
"Brazil","1/2/2020","369048"
"Ireland","1/2/2020","158819"
"United Arab Emirates","1/2/2020","260816"
"Switzerland","1/2/2020","148074"
"Panama","1/2/2020","277750"
"Spain","1/2/2020","227179"
"Chile","1/2/2020","95404"
"Honduras","1/2/2020","75434"
"El Salvador","1/2/2020","168013"
"Japan","1/2/2020","779001"
"Hong Kong","1/2/2020","87364"
"Dominican Republic","1/2/2020","527150"
"Mexico","1/2/2020","2335801"
"Colombia","1/2/2020","311434"
"Canada","1/2/2020","2410160"
"Jamaica","1/2/2020","348378"
"Ecuador","1/2/2020","103156"
"Guatemala","1/2/2020","106391"
"France","1/2/2020","477782"
"Belgium","1/2/2020","61596"
"Bahamas","1/2/2020","260841"
"Germany","1/2/2020","626859"
"Netherlands","1/2/2020","346844"
"China","1/2/2020","77911"
"Antilles","1/2/2020","98292"
"Atlantic Ocean","1/2/2020","31924"
"Aruba","1/2/2020","152091"
"Russia","1/2/2020","49909"
"Turkey","1/2/2020","144657"
"Australia","1/2/2020","225836"
"Iceland","1/2/2020","59195"
"Haiti","1/2/2020","57698"
"Israel","1/2/2020","120431"
"Philippines","1/2/2020","107066"
"Taiwan","1/2/2020","187154"
"New Zealand","1/2/2020","89621"
"Trinidad and Tobago","1/2/2020","75654"
"Denmark","1/2/2020","44848"
"Peru","1/1/2020","168966"
"Turkey","1/1/2020","166221"
"Spain","1/1/2020","262893"
"Costa Rica","1/1/2020","358901"
"Brazil","1/1/2020","444207"
"Italy","1/1/2020","174383"
"Argentina","1/1/2020","149353"
"South Korea","1/1/2020","572037"
"Switzerland","1/1/2020","172800"
"Ireland","1/1/2020","185448"
"Haiti","1/1/2020","68873"
"Japan","1/1/2020","918689"
"Chile","1/1/2020","108308"
"Panama","1/1/2020","329376"
"Germany","1/1/2020","735045"
"El Salvador","1/1/2020","206791"
"Jamaica","1/1/2020","384220"
"United Kingdom","1/1/2020","1405905"
"Mexico","1/1/2020","2770608"
"Honduras","1/1/2020","99733"
"Israel","1/1/2020","146381"
"Canada","1/1/2020","2414302"
"Dominican Republic","1/1/2020","632420"
"Ecuador","1/1/2020","103273"
"Guatemala","1/1/2020","132740"
"Colombia","1/1/2020","366239"
"Belgium","1/1/2020","61126"
"Antilles","1/1/2020","97776"
"Atlantic Ocean","1/1/2020","33680"
"France","1/1/2020","533661"
"Bahamas","1/1/2020","247043"
"Cayman Islands","1/1/2020","93576"
"China","1/1/2020","665735"
"Aruba","1/1/2020","151331"
"Netherlands","1/1/2020","396750"
"Russia","1/1/2020","41731"
"Australia","1/1/2020","312766"
"Hong Kong","1/1/2020","288191"
"United Arab Emirates","1/1/2020","337008"
"Iceland","1/1/2020","59861"
"Denmark","1/1/2020","47357"
"Taiwan","1/1/2020","299587"
"New Zealand","1/1/2020","126328"
"Philippines","1/1/2020","130421"
"Trinidad and Tobago","1/1/2020","74813"
"Turkey","1/12/2019","171906"
"Costa Rica","1/12/2019","323034"
